page,priority,buyer,buyer_task,what_page_has_today,gap_choice,gap_conditions,gap_proof,gap_next_step,linked_skus,linked_articles,facts_owner,status
/pepperoni,1,"пиццерии, HoReCa, дистрибьюторы РФ/СНГ, импортёры халяль","выбрать пепперони под печь и нарезку, понять цену за кг/упаковку, заказать образцы","12 секций: документы, о производителе, продукт (KD-013/014), цена и условия, экспорт, private label, FAQ, форма; 6 фото; лид-форма есть","есть 2 SKU, но нет таблицы «нарезка vs батон»: диаметр ломтика, толщина, шт/упак, выход на пиццу 30 см — нужны измерения технолога","цена есть (₽ за упак.), USD есть; нет minOrder (пусто в Sheet), нет веса короба, нет схемы пробного заказа (сколько, как оплата, срок)","есть сертификаты (ДУМ РТ, HACCP, ISO 22000); нет реального испытания при выпечке (фото до/после, усадка, жир) — бриф brief-pepperoni-bake-test.md; нет подтверждённого кейса клиента — бриф brief-client-case.md","форма есть; добавить явные 3 варианта: образцы / прайс / бриф СТМ с указанием что получит и когда",KD-013; KD-014,"/blog/pepperoni-iz-kakogo-myasa; /blog/pepperoni-for-pizzeria-horeca; /blog/narezka-pepperoni-parametry; /blog/kak-hranit-pepperoni","технолог (параметры нарезки, выпечка); продажи (minOrder, пробный заказ)","ждёт факты; правки текста без фактов не делать"
/sosiski-dlya-hotdog,2,"сети АЗС, стритфуд, фудсервис, дистрибьюторы","подобрать сосиску под роликовый гриль/булку (масса, длина, диаметр, оболочка), понять цену за шт и упаковку, срок","17 КБ: ассортимент 8 SKU списком, преимущества, FAQ, тел.; 0 фото, 0 цен, нет лид-формы","8 SKU без сравнительной таблицы: масса шт, длина, диаметр, оболочка, срок (заморозка 360 сут vs охл. 30 сут) — diameter/casing пусты в Sheet у большинства","цены есть в products.json (₽/упак., 80 г × 6 и 130 г × 5) — не показаны на странице; нет цены за штуку; нет minOrder","нет фото (в products.json фото есть у всех 8 — подставить same-origin); сертификаты упомянуты; нет референса АЗС (cases.html называет «Татнефть», «СМАРТЕН» — подтверждение продаж требуется до использования)","нет формы — добавить lead-form с preset «образцы для АЗС/стритфуда»","KD-001; KD-002; KD-003; KD-004; KD-005; KD-006; KD-007; KD-008; KD-017; KD-019; KD-020; KD-021; KD-022","/blog/sosiski-dlya-hot-dogov-optom; /en/blog/beef-hotdog-sausages-halal","технолог (длина/диаметр/оболочка); продажи (цена за шт, minOrder, референсы)",ждёт факты
/kazylyk,3,"подарочный ритейл, халяль-магазины, корпоративные подарки, экспорт в СНГ","понять что такое казылык, состав (конина), сроки, подарочная упаковка, цену за шт/кг, минимальную партию","ассортимент и цены (2 упоминания ₽), характеристики, «идеальный подарок», сертификация, форма; 0 фото; 0 ссылок на SKU","2 SKU (KD-044 200 г батон 180 сут; KD-045 100 г нарезка 30 сут) — на странице карточки не связаны; нет разницы «целый vs нарезка»","цены есть (650 ₽ / 450 ₽ за шт) — сверить с текстом страницы; нет minOrder, нет условий охлаждённой доставки (0…+6 °C)","фото упаковки нет на странице (есть в products.json); состав из Sheet; нет фото среза; superlatives «идеальный/особенный» → заменить на факты","форма есть; добавить «запросить фото и образец»",KD-044; KD-045,"/blog/kazylyk; /en/blog/kazylyk-horse-meat-sausage","технолог (состав, срок после вскрытия); продажи (minOrder, доставка охл.)",ждёт факты
/kontraktnoe-proizvodstvo,4,"бренды, сети, мясокомбинаты без халяль-линии, экспортёры","понять что можно выпустить под СТМ, минимальный тираж, сроки, документы, этапы","что производим, 5 шагов, кому подходит, возможности, FAQ, форма; 0 фото; 0 SKU","нет списка категорий с мин. тиражом и сроком запуска (табл.); нет «что мы НЕ делаем» (свинина — никогда; кошер — нет)","нет: мин. партия под СТМ, срок от брифа до первой отгрузки, кто делает дизайн/сертификацию, ценовая модель (₽/кг или за партию) — всё пусто","нет фото производства/линии; кейс «Aslam для ОМПК» описан на /cases — подтвердить у продаж (договор, разрешение на упоминание) до использования как доказательства","форма есть; добавить чек-лист брифа (что прислать: рецептура/ТЗ, объём, упаковка, срок)",,"/blog/private-label-kolbasnyh-izdeliy; /en/blog/private-label-meat-products","продажи/владелец (тираж, сроки, ценовая модель, разрешение клиентов на упоминание)",ждёт факты
/blog/pepperoni-iz-kakogo-myasa,update-1,"пиццерии, закупщики","понять что пепперони куриный, почему не свинина, как это влияет на вкус/выпечку","статья есть; 0 кликов P1/P2",—,—,"нужны: состав из Sheet (уже есть), КБЖУ (пусто), фото среза; ссылка на испытание при выпечке","ведёт на /pepperoni (образцы)",KD-013; KD-014,,технолог (КБЖУ),ждёт факты
/blog/pepperoni-for-pizzeria-horeca,update-2,"шеф/закупщик пиццерии","сколько ломтиков на пиццу, расход на 100 пицц, как хранить открытую упаковку","статья есть; 0 кликов",—,—,"нужны измерения технолога: ломтиков/упак., расход, поведение в печи","ведёт на /pepperoni",KD-013,,технолог,ждёт факты
/blog/narezka-pepperoni-parametry,update-3,"закупщик","толщина/диаметр ломтика, укладка","статья есть; 0 кликов; EN-версия /en/blog/pepperoni-slicing-specs имеет 5→2 клика",—,—,"измерения технолога (толщина, шт/упак.)","ведёт на /pepperoni",KD-013,/en/blog/pepperoni-slicing-specs,технолог,ждёт факты
/blog/kak-hranit-pepperoni,update-4,"закупщик, кладовщик","хранение до/после вскрытия, заморозка/размораживание","статья есть; 1→0 кликов",—,—,"срок после вскрытия — нет в Sheet; условия хранения есть (−18 °C)","ведёт на /pepperoni",KD-013; KD-014,,технолог,ждёт факты
/blog/sosiski-dlya-hot-dogov-optom,update-5,"АЗС/стритфуд","какую сосиску под гриль, расход, срок","статья есть; 0 кликов",—,—,"таблица SKU (масса/длина/диаметр/оболочка) — те же поля что для страницы","ведёт на /sosiski-dlya-hotdog","KD-001..KD-008",,технолог/продажи,ждёт факты
/blog/kazylyk,update-6,"ритейл, подарки","что такое казылык, состав, срок, как подавать","статья есть; 0→1 клик",—,—,"состав и сроки из Sheet; фото","ведёт на /kazylyk",KD-044; KD-045,/en/blog/kazylyk-horse-meat-sausage,технолог,ждёт факты
