Лист,Строка,SKU,Наименование,Колонка RU,SEO Описание RU,Колонка EN,SEO Описание EN
Заморозка,19,KD-011,Ветчина Куриная Филейная в нарезке,T,"Ветчина Куриная Филейная в нарезке (500 г) | Куриная ветчина из филе бедра для пиццы, сэндвичей и HoReCa — халяль | Нежная филейная куриная ветчина в тонкой слайсерной нарезке. Удобный формат для пиццерий, кафе и готовых блюд. | Ветчина Куриная Филейная в нарезке от «Казанских Деликатесов» изготовлена из отборного куриного филе с добавлением натуральных пряностей. Тонкие ровные ломтики готовы к использованию на профессиональной кухне, сокращают время приготовления пиццы, брускетт и сэндвичей. Чистый мясной вкус, сочная текстура и халяль-сертификация ДУМ РТ.",U,"Sliced Chicken Fillet Ham (500g) | Halal Chicken Thigh Ham Slices for Pizza, Sandwiches, and HoReCa | Tender chicken fillet ham in thin, uniform slices. Convenient professional format for pizzerias, cafes, and catering. | Sliced Chicken Fillet Ham by Kazan Delicacies is produced from selected poultry meat and natural spices under strict Halal standards. Pre-sliced for high kitchen efficiency, it delivers authentic flavor, excellent texture, and reliable quality for food service, hotels, and retail delis."
Заморозка,20,KD-013,Пепперони варено-копченый куриный нарезка,T,"Пепперони варено-копченый куриный в нарезке (500 г, калибр 50–55 мм) | Халяль пепперони для пиццы и HoReCa — термостабильная нарезка | Классические слайсы пикантного пепперони из мяса птицы. Идеально держит форму при выпечке в подовых и конвейерных печах. | Профессиональный варено-копченый куриный пепперони от «Казанских Деликатесов» разработан специально для пиццерий и ресторанов. Слайсы диаметром 50–55 мм обладают выразительным пряным ароматом с нотками паприки и перца, равномерно пропекаются, аппетитно выделяют сок и сохраняют форму без избыточного жира. 100% халяль, срок годности 360 суток при –18 °C.",U,"Cooked-Smoked Chicken Pepperoni Slices (500g, 50–55mm caliber) | Halal Chicken Pepperoni for Pizza and Food Service — Heat-Stable Slices | Savory chicken pepperoni slices crafted for high-temperature pizza ovens. Retains shape and juicy texture. | Professional cooked-smoked chicken pepperoni by Kazan Delicacies is specifically tailored for commercial pizzerias and food service operators. Featuring a balanced blend of paprika, black pepper, and garlic, these 50–55mm slices bake evenly, resist curling, and deliver authentic pepperoni flavor. Certified Halal, 360-day shelf life at –18°C."
Заморозка,21,KD-014,Пепперони варено-копченый куриный целый батон,T,"Пепперони варено-копченый куриный целый батон (0,8 кг) | Цельный батон халяль пепперони для профессиональной нарезки и HoReCa | Плотный батон пикантного куриного пепперони для слайсеров. Позволяет регулировать толщину ломтика под стандарты заведения. | Варено-копченый куриный пепперони в цельном батоне калибра 50–55 мм — оптимальное решение для сетей пиццерий и кулинарий с собственным слайсингом. Плотная структура колбасы обеспечивает чистый ровный срез без деформации. Насыщенный пряный вкус и термостабильность при температуре печи до 350 °C. Халяль ДУМ РТ, хранение 360 суток при –18 °C.",U,"Cooked-Smoked Chicken Pepperoni Stick (0.8kg) | Whole Halal Pepperoni Stick for Professional Slicing and Food Service | Dense chicken pepperoni stick designed for commercial slicers, allowing customized slice thickness. | Whole cooked-smoked chicken pepperoni stick (50–55mm caliber) from Kazan Delicacies gives commercial kitchens full control over slicing thickness. With its firm texture, it slices smoothly and bakes consistently without shrinking. Certified Halal, ideal for high-volume pizzerias, shelf life 360 days at –18°C."
Заморозка,22,KD-015,Грудка куриная варено-копченая,T,"Грудка куриная варено-копченая (1 кг) | Натуральное копченое филе грудки для пиццы, салатов и HoReCa — халяль | Сочное филе куриной грудки с деликатным ароматом натурального копчения. Готовый компонент для салатов, пиццы и холодных закусок. | Варено-копченая куриная грудка от «Казанских Деликатесов» приготовлена из отборного филе цыплят-бройлеров по халяльным стандартам. Нежное мясо с легкой дымной ноткой отлично нарезается ломтиками, кубиками или соломкой, сохраняет сочность в горячих и холодных блюдах (пицца «Цыпленок Барбекю», салат «Цезарь», сэндвичи). Без ГМО и вредных добавок.",U,"Cooked-Smoked Chicken Breast Fillet (1kg) | Natural Smoked Halal Chicken Breast for Salads, Pizza, and Food Service | Tender, juicy chicken breast fillet gently smoked over natural wood chips. Ready to slice for commercial kitchens. | Cooked-Smoked Chicken Breast by Kazan Delicacies is made from premium poultry fillets following strict Halal protocols. With a tender texture and mild natural smoke profile, it is an ideal ready-to-use topping for BBQ chicken pizzas, Caesar salads, wraps, and gourmet sandwiches. Certified Halal, packed for HoReCa."
Охлажденная,4,KD-018,Сосиски «К завтраку» (без оболочки) для «Сосиски в тесте» 45 гр - вес сосиски,S,"Сосиски для сосиски в тесте «К завтраку» без оболочки 45 г (2 кг) | Термостабильные порционные сосиски для выпечки в тесте и фастфуда — халяль | Порционные сосиски по 45 г без оболочки. Идеально подходят для выпечки в тесте: не лопаются, не деформируются при температуре до 220 °C. | Специализированные сосиски «К завтраку» от «Казанских Деликатесов» разработаны для пекарен, столовых и предприятий стритфуда. Точный калибр 45 г и отсутствие оболочки ускоряют формовку изделий. Благодаря термостабильному фаршу сосиска не выделяет лишней влаги, тесто не сыреет изнутри, а готовая выпечка сохраняет аппетитный вид и сочность. Халяль, упаковка 2 кг.",T,"Breakfast Sausages Skinless 45g (2kg pack) | Heat-Stable Sausages for Pigs-in-Blankets, Bakeries, and Quick Service | Portion-sized 45g skinless sausages formulated specifically for baking inside dough without bursting or shrinking. | Specialized Breakfast Sausages by Kazan Delicacies are engineered for bakeries and grab-and-go outlets producing hot bakery snacks and sausage rolls. The skinless 45g format streamlines kitchen assembly. The heat-stable formulation prevents excessive moisture release, keeping the surrounding dough crisp and golden. Halal certified, 2kg pack."
Охлажденная,10,KD-023,Сосиски в/с Премиум,S,"Сосиски высшего сорта «Премиум» (400 г) | Нежные мясные сосиски высшего сорта для завтраков и розницы — халяль | Отборные сосиски высшего сорта из мяса птицы и говядины с натуральными пряностями. Классический мягкий вкус и упругая структура. | Сосиски «Премиум» высшего сорта от «Казанских Деликатесов» — флагманский продукт для гостиничных шведских линий, ресторанов и розничных витрин. Производятся на основе отборного охлажденного мясного сырья с добавлением натуральных специй и дрожжевых экстрактов. Отличаются плотной нежной консистенцией, аппетитным ароматом и чистым вкусом. Сертифицированы по стандарту Халяль ДУМ РТ.",T,"Premium Grade Halal Sausages (400g) | High-Grade Tender Sausages for Breakfast Buffets and Retail Delis | Selected high-grade sausages made from poultry and beef with natural seasonings. Classic mild flavor and springy texture. | Premium Sausages from Kazan Delicacies represent top-tier quality for hotel buffet breakfasts, cafes, and gourmet retail delis. Prepared from select chilled meats with aromatic spices, they maintain a succulent bite and delicate savory aroma. 100% Halal certified by MSB Tatarstan, vacuum packed."
Охлажденная,11,KD-024,Сосиски в/с Сочные,S,"Сосиски высшего сорта «Сочные» (400 г) | Сочные мясные сосиски со сливками и молоком для завтраков — халяль | Аппетитные сосиски повышенной сочности с добавлением сухого молока и натуральных сливок. Мягкий сливочно-мясной вкус. | Сосиски «Сочные» в/с от «Казанских Деликатесов» созданы для ценителей нежной текстуры и насыщенного сливочного послевкусия. Сбалансированное сочетание мяса птицы, говядины, молочной сыворотки и букета благородных специй придает продукту мягкость и приятную упругость при варке или обжаривании. Подходят для семейных завтраков, меню бистро и кафе. Соответствуют нормам Халяль.",T,"Juicy High-Grade Sausages (400g) | Succulent Milk-Enriched Halal Sausages for Breakfast and Bistros | Tender and extra-juicy sausages enriched with cream and dairy notes. Delicate, mild, and savory profile. | Juicy Sausages by Kazan Delicacies deliver a remarkably tender texture and rich dairy-meat flavor thanks to the addition of skimmed milk powder and whey. Perfect for quick boiling or pan-frying, they retain moisture and offer an inviting aroma. Made exclusively with Halal-compliant ingredients, packed 400g."
Охлажденная,15,KD-025,Вареная «Из Говядины»,S,"Колбаса вареная «Из Говядины» (500 г) | Традиционная вареная говяжья колбаса для бутербродов и салатов — халяль | Плотная ароматная вареная колбаса из говядины и куриного филе с чесноком, черным перцем и кориандром. | Колбаса вареная «Из Говядины» от «Казанских Деликатесов» изготовлена по проверенным рецептурам из натуральной говядины высшего качества. Однородная упругая текстура без пустот легко нарезается тонкими ломтиками для сэндвичей или кубиками для традиционных салатов. Букет натуральных специй подчеркивает благородный мясной вкус. Сертифицировано Халяль ДУМ РТ, вакуумная упаковка 500 г.",T,"Cooked Beef Sausage (500g) | Traditional Halal Boiled Beef Bologna for Sandwiches and Salads | Dense, aromatic boiled sausage made from beef and chicken fillet seasoned with garlic, black pepper, and coriander. | Cooked Beef Sausage by Kazan Delicacies is a versatile culinary staple produced in Kazan under strict Halal guidelines. Featuring a smooth, firm texture, it slices cleanly for deli sandwiches and dices evenly for cold salads. The natural spice blend enhances the hearty beef flavor without overwhelming it. Certified Halal, 500g pack."
Охлажденная,16,KD-026,Вареная Ассорти,S,"Колбаса вареная «Ассорти» (500 г) | Нежная вареная колбаса из куриного филе и говядины — халяль | Сбалансированная вареная колбаса с мягким мясным вкусом для завтраков, сэндвичей и кулинарии. | Колбаса вареная «Ассорти» от «Казанских Деликатесов» объединяет сочность куриного филе и плотность натуральной говядины. Продукт обладает мягким, гармоничным вкусом с легкими пряными нотками, гладкой структурой и приятным розовым срезом. Прекрасно подходит для ежедневных завтраков, горячих бутербродов, пиццы и выпечки. Строго халяльный состав, срок годности 30 суток при 0–6 °C.",T,"Cooked Assorted Meat Sausage (500g) | Tender Halal Boiled Sausage from Chicken Fillet and Beef | Well-balanced boiled deli sausage with a delicate meaty profile for daily breakfasts, sandwiches, and cooking. | Cooked Assorted Sausage by Kazan Delicacies combines tender chicken breast fillet with rich beef. It features a fine, uniform crumb, mild seasoning, and pleasant pink slice. Excellent for breakfast toast, catering platters, and savory pastries. Fully certified Halal by MSB Tatarstan, 30 days shelf life at 0–6°C."
Охлажденная,17,KD-027,Вареная Нежная,S,"Колбаса вареная «Нежная» (500 г) | Мягкая вареная колбаса с молочной сывороткой и говядиной — халяль | Деликатная вареная колбаса с шелковистой текстурой и легким сливочным оттенком для легких завтраков. | Вареная колбаса «Нежная» от «Казанских Деликатесов» создана для тех, кто ценит легкий и мягкий мясной вкус. Тонкий посол, добавление молочной сыворотки и качественного куриного филе с говядиной обеспечивают особую сочность и воздушность консистенции. Оптимальна для детских и диетических бутербродов, тостов и холодных закусок. Сертификат Халяль ДУМ РТ, хранение при 0–6 °C.",T,"Tender Cooked Sausage (500g) | Extra-Mild Halal Boiled Deli Sausage with Milk Whey and Beef | Delicate boiled sausage with a velvety texture and subtle milky aroma for light sandwiches and breakfast buffets. | Tender Cooked Sausage by Kazan Delicacies is designed for consumers preferring a gentle, non-spicy meat flavor. Enriched with dairy whey and prepared from poultry fillet with select beef, it yields an exceptionally smooth texture. Ideal for morning toast, school lunches, and hotel breakfast catering. Certified Halal, 500g."
