url,language,page_type,intent,discovery_source,http_status,canonical,index_status,clicks_period_1,impressions_period_1,clicks_period_2,impressions_period_2,measurement_periods,commercial_target,verified_facts_source,decision,reason
https://pepperoni.tatar/,ru,home,manufacturer and catalog home,GSC pages 2026-06..09; index_manifest; sitemap.xml,200,https://pepperoni.tatar/,index,13,375,18,350,"P1=2026-07-01..2026-07-31; P2=2026-08-01..2026-08-31; GSC sc-domain:pepperoni.tatar, web search, all countries/devices, dimensions=date+page; GSC data lag ≤3 days",/,products.json + brand.txt; claims need technologist/sales,keep,in explicit index allowlist
https://pepperoni.tatar/1,ru,hub,legacy URL retirement,GSC pages 2026-06..09; consolidation_map; index_manifest,410,n.a.,gone,0,0,0,7,"P1=2026-07-01..2026-07-31; P2=2026-08-01..2026-08-31; GSC sc-domain:pepperoni.tatar, web search, all countries/devices, dimensions=date+page; GSC data lag ≤3 days",/1,products.json + brand.txt; claims need technologist/sales,keep 410,no distinct supported intent or evidence
https://pepperoni.tatar/2,ru,hub,legacy URL retirement,consolidation_map; index_manifest,410,n.a.,gone,n.a.,n.a.,n.a.,n.a.,"P1=2026-07-01..2026-07-31; P2=2026-08-01..2026-08-31; GSC sc-domain:pepperoni.tatar, web search, all countries/devices, dimensions=date+page; GSC data lag ≤3 days",/2,products.json + brand.txt; claims need technologist/sales,keep 410,no distinct supported intent or evidence
https://pepperoni.tatar/3,ru,hub,legacy URL retirement,consolidation_map; index_manifest,410,n.a.,gone,n.a.,n.a.,n.a.,n.a.,"P1=2026-07-01..2026-07-31; P2=2026-08-01..2026-08-31; GSC sc-domain:pepperoni.tatar, web search, all countries/devices, dimensions=date+page; GSC data lag ≤3 days",/3,products.json + brand.txt; claims need technologist/sales,keep 410,no distinct supported intent or evidence
https://pepperoni.tatar/4,ru,hub,legacy URL retirement,consolidation_map; index_manifest,410,n.a.,gone,n.a.,n.a.,n.a.,n.a.,"P1=2026-07-01..2026-07-31; P2=2026-08-01..2026-08-31; GSC sc-domain:pepperoni.tatar, web search, all countries/devices, dimensions=date+page; GSC data lag ≤3 days",/4,products.json + brand.txt; claims need technologist/sales,keep 410,no distinct supported intent or evidence
https://pepperoni.tatar/5,ru,hub,legacy URL retirement,consolidation_map; index_manifest,410,n.a.,gone,n.a.,n.a.,n.a.,n.a.,"P1=2026-07-01..2026-07-31; P2=2026-08-01..2026-08-31; GSC sc-domain:pepperoni.tatar, web search, all countries/devices, dimensions=date+page; GSC data lag ≤3 days",/5,products.json + brand.txt; claims need technologist/sales,keep 410,no distinct supported intent or evidence
https://pepperoni.tatar/6,ru,hub,legacy URL retirement,consolidation_map; index_manifest,410,n.a.,gone,n.a.,n.a.,n.a.,n.a.,"P1=2026-07-01..2026-07-31; P2=2026-08-01..2026-08-31; GSC sc-domain:pepperoni.tatar, web search, all countries/devices, dimensions=date+page; GSC data lag ≤3 days",/6,products.json + brand.txt; claims need technologist/sales,keep 410,no distinct supported intent or evidence
https://pepperoni.tatar/about,ru,hub,verified company identity,GSC pages 2026-06..09; index_manifest; sitemap.xml,200,https://pepperoni.tatar/about,index,3,44,0,31,"P1=2026-07-01..2026-07-31; P2=2026-08-01..2026-08-31; GSC sc-domain:pepperoni.tatar, web search, all countries/devices, dimensions=date+page; GSC data lag ≤3 days",/about,products.json + brand.txt; claims need technologist/sales,keep,in explicit index allowlist
https://pepperoni.tatar/ar,ar,hub,legacy URL retirement,GSC pages 2026-06..09; consolidation_map; index_manifest,200,https://pepperoni.tatar/ar,noindex,0,0,0,0,"P1=2026-07-01..2026-07-31; P2=2026-08-01..2026-08-31; GSC sc-domain:pepperoni.tatar, web search, all countries/devices, dimensions=date+page; GSC data lag ≤3 days",/ar,products.json + brand.txt; claims need technologist/sales,keep noindex,unsupported locale retained only as non-organic landing
https://pepperoni.tatar/ar/export,ar,hub,legacy URL retirement,GSC pages 2026-06..09; consolidation_map; index_manifest,410,n.a.,gone,0,0,0,0,"P1=2026-07-01..2026-07-31; P2=2026-08-01..2026-08-31; GSC sc-domain:pepperoni.tatar, web search, all countries/devices, dimensions=date+page; GSC data lag ≤3 days",/ar/export,products.json + brand.txt; claims need technologist/sales,keep 410,no distinct supported intent or evidence
