sku,name_ru,name_en,status
KD-001,Сосиски «Из говядины» (80 г × 6 шт),Beef Sausages (80g × 6 pcs),approved-by-delegation 2026-09-12
KD-002,Сосиски «Два мяса» (80 г × 6 шт),Two-Meat Sausages (80g × 6 pcs),approved-by-delegation 2026-09-12
KD-003,Сосиски «Три перца с сыром» (80 г × 6 шт),Three Peppers & Cheese Sausages (80g × 6 pcs),approved-by-delegation 2026-09-12
KD-004,Сосиски «Куриные» (80 г × 6 шт),Chicken Sausages (80g × 6 pcs),approved-by-delegation 2026-09-12
KD-005,Сосиски «С бараниной» (80 г × 6 шт),Lamb Sausages (80g × 6 pcs),approved-by-delegation 2026-09-12
KD-006,Сосиски «С травами» (130 г × 5 шт),Herb Sausages (130g × 5 pcs),approved-by-delegation 2026-09-12
KD-007,Сосиски «С сыром» (130 г × 5 шт),Cheese Sausages (130g × 5 pcs),approved-by-delegation 2026-09-12
KD-008,"Сосиски Из конины"" (80 г х 6 шт)",Horse-Meat Sausages (80g × 6 pcs),approved-by-delegation 2026-09-12
KD-009,Котлета говяжья прожаренная (100 г × 3 шт),Fried Beef Patty (100g × 3 pcs),approved-by-delegation 2026-09-12
KD-010,Котлета говяжья прожаренная (150 г × 2 шт),Fried Beef Patty (150g × 2 pcs),approved-by-delegation 2026-09-12
KD-011,Ветчина Куриная Филейная в нарезке,"Chicken Fillet Ham, Sliced",approved-by-delegation 2026-09-12
KD-013,Пепперони варено-копченый куриный нарезка,Cooked-Smoked Chicken Pepperoni (sliced),approved-by-delegation 2026-09-12
KD-014,Пепперони варено-копченый куриный целый батон,Cooked-Smoked Chicken Pepperoni (whole stick),approved-by-delegation 2026-09-12
KD-015,Грудка куриная варено-копченая,Smoked Chicken Breast,approved-by-delegation 2026-09-12
KD-018,Сосиски «К завтраку» (без оболочки) для «Сосиски в тесте» 45 гр - вес сосиски,"Breakfast Sausages (skinless) for Sausage Rolls, 45 g each",approved-by-delegation 2026-09-12
KD-017,Сосиски «К завтраку»,Breakfast Sausages,approved-by-delegation 2026-09-12
KD-019,Сосиски «Нежные»,Tender Sausages,approved-by-delegation 2026-09-12
KD-020,Сосиски «Казанские с молоком»,Kazan Milk Sausages,approved-by-delegation 2026-09-12
KD-021,Сосиски «С сыром»,Cheese Sausages,approved-by-delegation 2026-09-12
KD-022,"Сосиски ""Из говядины""",Beef Sausages,approved-by-delegation 2026-09-12
KD-023,Сосиски в/с Премиум,Premium Sausages,approved-by-delegation 2026-09-12
KD-024,Сосиски в/с Сочные,Juicy Sausages,approved-by-delegation 2026-09-12
KD-035,Колбаски с Сыром,Cheese Sausage Links,approved-by-delegation 2026-09-12
KD-025,Вареная «Из Говядины»,Boiled Beef Sausage,approved-by-delegation 2026-09-12
KD-026,Вареная Ассорти,Boiled Assorted Sausage,approved-by-delegation 2026-09-12
KD-027,Вареная Нежная,Boiled Tender Sausage,approved-by-delegation 2026-09-12
KD-028,Ветчина из Индейки,Turkey Ham,approved-by-delegation 2026-09-12
KD-029,Ветчина Мраморная с говядиной,Marbled Beef Ham,approved-by-delegation 2026-09-12
