id	title	description	link	image_link	additional_image_link	availability	price	sale_price	brand	gtin	mpn	condition	identifier_exists	google_product_category	product_type	shipping_weight	multipack	is_bundle	age_group	adult	country_of_origin	manufacturer	custom_label_0	custom_label_1	custom_label_2	custom_label_3	custom_label_4
KD-001	"Halal ""Beef"" Sausages (80g × 6 pcs) — Kazan Delicacies"	"Halal ""Beef"" Sausages (80g × 6 pcs) — Kazan Delicacies. SKU: KD-001. Article: 999969. Catalog classification: Frozen Products / Grill Sausages for Hot Dogs. Net weight: 0.48 kg. Package type: Вакуум. Shelf life: 360 суток. Storage: –18°C. Diameter: 24 mm. Casing: без оболочки. HS code: 160100. Manufacturer: Kazan Delicacies LLC, Kazan, Russia. Halal certificate DUM RT No. 614A/2024. Current availability, commercial terms, destination requirements and supporting documents are confirmed for the selected SKU on request."	https://pepperoni.tatar/en/products/kd-001	https://pepperoni.tatar/images/products/kd-001-main.jpg?v=2a0a28ae	https://pepperoni.tatar/images/products/kd-001-pack.jpg?v=d62ce70b,https://pepperoni.tatar/images/products/kd-001-slice.jpg?v=517e6c32	in_stock	290.00 RUB		Kazan Delicacies	4680638720608	999969	new	yes	5740	"Frozen Products > Grill Sausages for Hot Dogs > Halal ""Beef"" Sausages (80g × 6 pcs) — Kazan Delicacies"	0.480 kg		no	adult	no	RU	Kazan Delicacies	halal	frozen	Grill Sausages for Hot Dogs	Vacuum-packed	halal-#614A/2024
KD-002	Halal Turkey and Chicken Sausages (80 g × 6 pcs) — Kazan Delicacies	Halal Turkey and Chicken Sausages (80 g × 6 pcs) — Kazan Delicacies. SKU: KD-002. Article: 999880. Catalog classification: Frozen Products / Grill Sausages for Hot Dogs. Net weight: 0.48 kg. Package type: Вакуум. Shelf life: 360 суток. Storage: –18°C. Diameter: 24 mm. Casing: без оболочки. HS code: 160100. Manufacturer: Kazan Delicacies LLC, Kazan, Russia. Halal certificate DUM RT No. 614A/2024. Current availability, commercial terms, destination requirements and supporting documents are confirmed for the selected SKU on request.	https://pepperoni.tatar/en/products/kd-002	https://pepperoni.tatar/images/products/kd-002-main.jpg?v=a9a9cbd6	https://pepperoni.tatar/images/products/kd-002-pack.jpg?v=977edba3,https://pepperoni.tatar/images/products/kd-002-slice.jpg?v=02299761	in_stock	286.00 RUB		Kazan Delicacies	4680638720622	999880	new	yes	5740	Frozen Products > Grill Sausages for Hot Dogs > Halal Turkey and Chicken Sausages (80 g × 6 pcs) — Kazan Delicacies	0.480 kg		no	adult	no	RU	Kazan Delicacies	halal	frozen	Grill Sausages for Hot Dogs	Vacuum-packed	halal-#614A/2024
KD-003	Halal Sausages with Gouda cheese and a mixture of three peppers (80 g × 6 pcs) — Kazan Delicacies	Halal Sausages with Gouda cheese and a mixture of three peppers (80 g × 6 pcs) — Kazan Delicacies. SKU: KD-003. Article: 999883. Catalog classification: Frozen Products / Grill Sausages for Hot Dogs. Net weight: 0.48 kg. Package type: Вакуум. Shelf life: 360 суток. Storage: –18°C. Diameter: 24 mm. Casing: без оболочки. HS code: 160100. Manufacturer: Kazan Delicacies LLC, Kazan, Russia. Halal certificate DUM RT No. 614A/2024. Current availability, commercial terms, destination requirements and supporting documents are confirmed for the selected SKU on request.	https://pepperoni.tatar/en/products/kd-003	https://pepperoni.tatar/images/products/kd-003-main.jpg?v=773139fa	https://pepperoni.tatar/images/products/kd-003-pack.jpg?v=52538cc1,https://pepperoni.tatar/images/products/kd-003-slice.jpg?v=02299761	in_stock	316.00 RUB		Kazan Delicacies	4680638720646	999883	new	yes	5740	Frozen Products > Grill Sausages for Hot Dogs > Halal Sausages with Gouda cheese and a mixture of three peppers (80 g × 6 pcs) — Kazan Delicacies	0.480 kg		no	adult	no	RU	Kazan Delicacies	halal	frozen	Grill Sausages for Hot Dogs	Vacuum-packed	halal-#614A/2024
KD-004	Halal Chicken Sausages (80 g × 6 pieces) — Kazan Delicacies	Halal Chicken Sausages (80 g × 6 pieces) — Kazan Delicacies. SKU: KD-004. Article: 800049. Catalog classification: Frozen Products / Grill Sausages for Hot Dogs. Net weight: 0.48 kg. Package type: Вакуум. Shelf life: 360 суток. Storage: –18°C. Diameter: 24 mm. Casing: без оболочки. HS code: 160100. Manufacturer: Kazan Delicacies LLC, Kazan, Russia. Halal certificate DUM RT No. 614A/2024. Current availability, commercial terms, destination requirements and supporting documents are confirmed for the selected SKU on request.	https://pepperoni.tatar/en/products/kd-004	https://pepperoni.tatar/images/products/kd-004-main.jpg?v=f67020c2	https://pepperoni.tatar/images/products/kd-004-pack.jpg?v=9ecbea4f,https://pepperoni.tatar/images/products/kd-004-slice.jpg?v=02299761	in_stock	286.00 RUB		Kazan Delicacies	4680638720431	800049	new	yes	5740	Frozen Products > Grill Sausages for Hot Dogs > Halal Chicken Sausages (80 g × 6 pieces) — Kazan Delicacies	0.480 kg		no	adult	no	RU	Kazan Delicacies	halal	frozen	Grill Sausages for Hot Dogs	Vacuum-packed	halal-#614A/2024
KD-005	Halal Lamb sausages (80 g × 6 pcs) — Kazan Delicacies	Halal Lamb sausages (80 g × 6 pcs) — Kazan Delicacies. SKU: KD-005. Article: 999969. Catalog classification: Frozen Products / Grill Sausages for Hot Dogs. Net weight: 0.48 kg. Package type: Вакуум. Shelf life: 360 суток. Storage: –18°C. Diameter: 24 mm. Casing: без оболочки. HS code: 160100. Manufacturer: Kazan Delicacies LLC, Kazan, Russia. Halal certificate DUM RT No. 614A/2024. Current availability, commercial terms, destination requirements and supporting documents are confirmed for the selected SKU on request.	https://pepperoni.tatar/en/products/kd-005	https://pepperoni.tatar/images/products/kd-005-main.jpg?v=ab871483	https://pepperoni.tatar/images/products/kd-005-pack.jpg?v=6992f4b4,https://pepperoni.tatar/images/products/kd-005-slice.jpg?v=02299761	in_stock	366.00 RUB		Kazan Delicacies	4680638720950	999969	new	yes	5740	Frozen Products > Grill Sausages for Hot Dogs > Halal Lamb sausages (80 g × 6 pcs) — Kazan Delicacies	0.480 kg		no	adult	no	RU	Kazan Delicacies	halal	frozen	Grill Sausages for Hot Dogs	Vacuum-packed	halal-#614A/2024
KD-006	Halal Hot Dog Grill Sausages with Herbs (130 g × 5 pcs) — Kazan Delicacies	Halal Hot Dog Grill Sausages with Herbs (130 g × 5 pcs) — Kazan Delicacies. SKU: KD-006. Article: 999970. Catalog classification: Frozen Products / Grill Sausages for Hot Dogs. Net weight: 0.65 kg. Package type: Вакуум. Shelf life: 360 суток. Storage: –18°C. Diameter: 24 mm. Casing: без оболочки. HS code: 160100. Manufacturer: Kazan Delicacies LLC, Kazan, Russia. Halal certificate DUM RT No. 614A/2024. Current availability, commercial terms, destination requirements and supporting documents are confirmed for the selected SKU on request.	https://pepperoni.tatar/en/products/kd-006	https://pepperoni.tatar/images/products/kd-006-main.jpg?v=866fa4f8	https://pepperoni.tatar/images/products/kd-006-pack.jpg?v=424b65a2,https://pepperoni.tatar/images/products/kd-006-slice.jpg?v=5a0e9726	in_stock	424.00 RUB		Kazan Delicacies	4680638720936	999970	new	yes	5740	Frozen Products > Grill Sausages for Hot Dogs > Halal Hot Dog Grill Sausages with Herbs (130 g × 5 pcs) — Kazan Delicacies	0.650 kg		no	adult	no	RU	Kazan Delicacies	halal	frozen	Grill Sausages for Hot Dogs	Vacuum-packed	halal-#614A/2024
KD-007	Halal Hot Dog Grill Sausages with Cheese (130 g × 5 pcs) — Kazan Delicacies	Halal Hot Dog Grill Sausages with Cheese (130 g × 5 pcs) — Kazan Delicacies. SKU: KD-007. Article: 999982. Catalog classification: Frozen Products / Grill Sausages for Hot Dogs. Net weight: 0.65 kg. Package type: Вакуум. Shelf life: 360 суток. Storage: –18°C. Diameter: 24 mm. Casing: без оболочки. HS code: 160100. Manufacturer: Kazan Delicacies LLC, Kazan, Russia. Halal certificate DUM RT No. 614A/2024. Current availability, commercial terms, destination requirements and supporting documents are confirmed for the selected SKU on request.	https://pepperoni.tatar/en/products/kd-007	https://pepperoni.tatar/images/products/kd-007-main.jpg?v=dd2f328f	https://pepperoni.tatar/images/products/kd-007-pack.jpg?v=1ef0d1d8,https://pepperoni.tatar/images/products/kd-007-slice.jpg?v=5a0e9726	in_stock	455.00 RUB		Kazan Delicacies	4680638720943	999982	new	yes	5740	Frozen Products > Grill Sausages for Hot Dogs > Halal Hot Dog Grill Sausages with Cheese (130 g × 5 pcs) — Kazan Delicacies	0.650 kg		no	adult	no	RU	Kazan Delicacies	halal	frozen	Grill Sausages for Hot Dogs	Vacuum-packed	halal-#614A/2024
KD-008	Halal Horse Meat Grill Sausages (80 g × 6 pcs) — Kazan Delicacies	Halal Horse Meat Grill Sausages (80 g × 6 pcs) — Kazan Delicacies. SKU: KD-008. Article: 999888. Catalog classification: Frozen Products / Grill Sausages for Hot Dogs. Net weight: 0.48 kg. Package type: Вакуум. Shelf life: 360 суток. Storage: –18°C. Diameter: 24 mm. Casing: без оболочки. HS code: 160100. Manufacturer: Kazan Delicacies LLC, Kazan, Russia. Halal certificate DUM RT No. 614A/2024. Current availability, commercial terms, destination requirements and supporting documents are confirmed for the selected SKU on request.	https://pepperoni.tatar/en/products/kd-008	https://pepperoni.tatar/images/products/kd-008-main.jpg?v=2a0a28ae		in_stock	316.00 RUB		Kazan Delicacies	4680638721452	999888	new	yes	5740	Frozen Products > Grill Sausages for Hot Dogs > Halal Horse Meat Grill Sausages (80 g × 6 pcs) — Kazan Delicacies	0.480 kg		no	adult	no	RU	Kazan Delicacies	halal	frozen	Grill Sausages for Hot Dogs	Vacuum-packed	halal-#614A/2024
KD-009	Juicy halal patty made from selected beef and chicken thigh fillet, seasoned only with salt and ground black pepper. The delicate structure of the chi	Juicy halal patty made from selected beef and chicken thigh fillet, seasoned only with salt and ground black pepper. The delicate structure of the chi. SKU: KD-009. Article: 800041. Catalog classification: Frozen Products / Burger Patties. Net weight: 0.3 kg. Package type: Вакуум. Shelf life: 360 суток. Storage: –18°C. Casing: без оболочки. Manufacturer: Kazan Delicacies LLC, Kazan, Russia. Halal certificate DUM RT No. 614A/2024. Current availability, commercial terms, destination requirements and supporting documents are confirmed for the selected SKU on request.	https://pepperoni.tatar/en/products/kd-009	https://pepperoni.tatar/images/products/kd-009-main.jpg?v=5346141e	https://pepperoni.tatar/images/products/kd-009-pack.jpg?v=6cce804f	in_stock	276.00 RUB		Kazan Delicacies	4620016152911	800041	new	yes	420	Frozen Products > Burger Patties > Juicy halal patty made from selected beef and chicken thigh fillet, seasoned only with salt and ground black pepper. The delicate structure of the chi	0.300 kg		no	adult	no	RU	Kazan Delicacies	halal	frozen	Burger Patties	Vacuum-packed	halal-#614A/2024
KD-010	Juicy halal patty made from selected beef and chicken thigh fillet, seasoned only with salt and ground black pepper. The delicate structure of the chi	Juicy halal patty made from selected beef and chicken thigh fillet, seasoned only with salt and ground black pepper. The delicate structure of the chi. SKU: KD-010. Article: 800043. Catalog classification: Frozen Products / Burger Patties. Net weight: 0.3 kg. Package type: Вакуум. Shelf life: 360 суток. Storage: –18°C. Casing: без оболочки. Manufacturer: Kazan Delicacies LLC, Kazan, Russia. Halal certificate DUM RT No. 614A/2024. Current availability, commercial terms, destination requirements and supporting documents are confirmed for the selected SKU on request.	https://pepperoni.tatar/en/products/kd-010	https://pepperoni.tatar/images/products/kd-010-main.jpg?v=7c5b42da	https://pepperoni.tatar/images/products/kd-010-pack.jpg?v=98d7583f	in_stock	276.00 RUB		Kazan Delicacies	4620016152911	800043	new	yes	420	Frozen Products > Burger Patties > Juicy halal patty made from selected beef and chicken thigh fillet, seasoned only with salt and ground black pepper. The delicate structure of the chi	0.300 kg		no	adult	no	RU	Kazan Delicacies	halal	frozen	Burger Patties	Vacuum-packed	halal-#614A/2024
